model,horizon_h,year_month,MAE,RMSE,R2,N
rolling_mean_24h,1,2024-03,2.895269694670979,4.470516019785378,0.16509228520641162,725
rolling_mean_24h,1,2024-04,2.333659892751914,3.354696139375012,0.2886397876358193,710
rolling_mean_24h,1,2024-05,2.5743584948558107,3.625946405703428,0.14876262874963653,729
rolling_mean_24h,1,2024-06,2.070618789179819,2.719514885744399,0.4607817165772069,719
rolling_mean_24h,1,2024-07,3.106537221799598,5.624025148891112,0.2007984233875436,743
rolling_mean_24h,1,2024-08,2.496260386798525,3.6642144127345926,0.503479465044038,743
rolling_mean_24h,1,2024-09,1.3075462649048242,1.8670390628010187,0.30072316862914383,717
rolling_mean_24h,1,2024-10,2.3542906460222244,3.5370024444406845,0.484745475471429,734
rolling_mean_24h,1,2024-11,4.892490076776942,12.742696908923108,-0.06671365689282438,708
rolling_mean_24h,1,2024-12,2.141764881143007,2.997101563484227,0.4389262892238953,725
rolling_mean_24h,6,2024-01,3.25152655528699,4.241397891533589,0.06562249113711849,686
rolling_mean_24h,6,2024-02,3.597767271551165,5.247700585255163,0.03267340037213928,677
rolling_mean_24h,6,2024-03,3.4907105530296785,5.217611433165057,-0.13870348656522857,725
rolling_mean_24h,6,2024-04,2.7198870504852604,3.8163698995187887,0.08719353493479065,710
rolling_mean_24h,6,2024-05,2.967700486232558,4.1407012160483,-0.11792760451846562,729
rolling_mean_24h,6,2024-06,2.436526299610973,3.1480992462819217,0.28410430109982043,719
rolling_mean_24h,6,2024-07,3.5729308083172406,6.318893867373671,-0.016264367056472384,743
rolling_mean_24h,6,2024-08,3.0484264975520317,4.387140472368961,0.29073325721666343,743
rolling_mean_24h,6,2024-09,1.5157987001174194,2.1392950772328976,0.08907024125816987,717
rolling_mean_24h,6,2024-10,2.793602381260093,4.115530800987962,0.3004826704738073,734
rolling_mean_24h,6,2024-11,5.290253197269699,13.303878416682398,-0.16288090563684965,708
rolling_mean_24h,6,2024-12,2.5733210352420945,3.4869488152101065,0.2453057750626506,720
rolling_mean_24h,12,2024-01,3.8332210279260877,4.9389831832405235,-0.1970978548449429,680
rolling_mean_24h,12,2024-02,4.1032589163101685,5.798139728523863,-0.22582928857962448,677
rolling_mean_24h,12,2024-03,3.8942661490142765,5.713572928292878,-0.36601319004270905,725
rolling_mean_24h,12,2024-04,3.084537841926927,4.228187506321777,-0.03445375154514152,710
rolling_mean_24h,12,2024-05,3.1854475611387434,4.344369863076352,-0.3402279605201326,729
rolling_mean_24h,12,2024-06,2.7557543941867735,3.52283716368786,0.11356496800142901,719
rolling_mean_24h,12,2024-07,3.9475649540640174,6.729647549073767,-0.1614567186497684,743
rolling_mean_24h,12,2024-08,3.62596126650672,5.019086170391762,0.0697698973390043,743
rolling_mean_24h,12,2024-09,1.66887070403875,2.3037292845113138,-0.06318984604526334,717
rolling_mean_24h,12,2024-10,3.1774921857010026,4.6031086795286145,0.1246691890574021,734
rolling_mean_24h,12,2024-11,5.474498825988006,13.166339295004118,-0.13896798742289396,708
rolling_mean_24h,12,2024-12,2.9163503110517217,3.840175295865737,0.0879356941006425,714
rolling_mean_24h,24,2024-01,4.4697252500149105,5.646558925390411,-0.4668301664694836,668
rolling_mean_24h,24,2024-02,4.72809876989116,6.352288312154726,-0.5419450878969245,677
rolling_mean_24h,24,2024-03,4.304662745042988,6.077858145967982,-0.526969465031917,725
rolling_mean_24h,24,2024-04,3.5108311670953287,4.614875545581991,-0.21302239338462803,710
rolling_mean_24h,24,2024-05,3.272758458869393,4.335228380843514,-0.38215794929928104,729
rolling_mean_24h,24,2024-06,3.417170713148294,4.231627500083184,-0.26194270266087427,719
rolling_mean_24h,24,2024-07,4.477230479645776,7.044358452279117,-0.2645622780306267,743
rolling_mean_24h,24,2024-08,4.473202181715334,5.826333351660484,-0.2928587859746197,743
rolling_mean_24h,24,2024-09,1.8671819729953714,2.4257810034968794,-0.20611477099454567,717
rolling_mean_24h,24,2024-10,3.7710045594041857,5.450015889246264,-0.22314285117107113,734
rolling_mean_24h,24,2024-11,5.634537568338626,12.958080154372073,-0.10382207286658507,708
rolling_mean_24h,24,2024-12,3.435088412616845,4.573452931652998,-0.2731705972557845,702
rolling_mean_24h,48,2024-01,4.616757905895801,6.233770699558442,-0.6779210450769149,666
rolling_mean_24h,48,2024-02,5.3274005843820085,6.9385029628404045,-0.9257153237622817,666
rolling_mean_24h,48,2024-03,4.556035718906087,6.740990667004899,-0.7758372096730455,736
rolling_mean_24h,48,2024-04,3.550167074852035,4.691821704345395,-0.26537302771978655,710
rolling_mean_24h,48,2024-05,3.880473473571794,4.936249341330335,-0.9324369600068443,729
rolling_mean_24h,48,2024-06,3.848632233778799,4.9638792257494355,-0.7197431189514392,719
rolling_mean_24h,48,2024-07,5.5092262078920164,8.079897103791732,-0.6372523548449911,743
rolling_mean_24h,48,2024-08,5.605160849084206,6.8287648574570055,-0.8793544466537135,743
rolling_mean_24h,48,2024-09,2.03038284533457,2.5570951356644787,-0.3847843987849664,716
rolling_mean_24h,48,2024-10,4.826330888745485,6.64062975517255,-0.7773967765637275,735
rolling_mean_24h,48,2024-11,5.895360060352844,13.573511131571166,-0.21457298706092964,707
rolling_mean_24h,48,2024-12,3.70855903661126,5.152878008075568,-0.5671445106494466,679
rolling_mean_24h,72,2024-01,5.120997599594775,6.778993832573107,-0.9518189992650836,667
rolling_mean_24h,72,2024-02,5.17675780639157,7.293810003587894,-1.0800244592882522,659
rolling_mean_24h,72,2024-03,4.398174549915862,6.868027854550522,-0.8797380009871871,743
rolling_mean_24h,72,2024-04,4.303041056868752,5.426296022925917,-0.687708351223361,710
rolling_mean_24h,72,2024-05,4.259266001053533,5.15572924695446,-0.9047754101516503,729
rolling_mean_24h,72,2024-06,3.7736554141218686,5.023987086321489,-0.8952149707291008,719
rolling_mean_24h,72,2024-07,5.8039744133653235,8.376993332299959,-0.7672512004935204,743
rolling_mean_24h,72,2024-08,5.868942375212125,7.403745048434869,-1.1486423128031906,743
rolling_mean_24h,72,2024-09,2.216820891388993,2.8244410982748587,-0.6434945840580797,716
rolling_mean_24h,72,2024-10,5.308722945323433,7.194075908021673,-1.0678453681571876,735
rolling_mean_24h,72,2024-11,6.1920633059879675,13.817961272327585,-0.26039110980209235,707
rolling_mean_24h,72,2024-12,4.113171086739313,5.388540127413399,-0.6777879599803938,655
seasonal_naive_daily,1,2024-01,4.213095238095238,5.411318330261913,-0.5112060762501094,672
seasonal_naive_daily,1,2024-02,4.779711246200608,6.90402645613347,-0.6768347971348632,658
seasonal_naive_daily,1,2024-03,4.4359065155807365,6.736843489224036,-0.8597627668894301,706
seasonal_naive_daily,1,2024-04,3.5955714285714286,4.92432809049693,-0.5303048793666376,700
seasonal_naive_daily,1,2024-05,3.5316526610644257,4.957048005615034,-0.6077860997135691,714
seasonal_naive_daily,1,2024-06,3.022423398328691,3.9005615266062943,-0.10842464719111322,718
seasonal_naive_daily,1,2024-07,4.600539083557952,7.87754322942987,-0.5659356172094119,742
seasonal_naive_daily,1,2024-08,4.147641509433963,5.685316181256987,-0.1956496918588131,742
seasonal_naive_daily,1,2024-09,1.9483193277310924,2.661655831377506,-0.4458927885528039,714
seasonal_naive_daily,1,2024-10,3.4191298342541434,5.13844147588595,-0.07943638842016965,724
seasonal_naive_daily,1,2024-11,6.407327586206897,17.729287737474422,-1.0337511646374966,696
seasonal_naive_daily,1,2024-12,3.3295615275813297,4.616485434310943,-0.3170100893776988,707
seasonal_naive_daily,6,2024-01,4.481109445277361,5.76976688394362,-0.7075777577733073,667
seasonal_naive_daily,6,2024-02,5.180955993930198,7.266969831443347,-0.9086464345574861,659
seasonal_naive_daily,6,2024-03,4.631798866855524,6.959315449794257,-0.9796637932643297,706
seasonal_naive_daily,6,2024-04,3.8115714285714284,5.132205735771484,-0.6414970452009319,700
seasonal_naive_daily,6,2024-05,3.722128851540616,5.158790870863029,-0.7766268550579281,714
seasonal_naive_daily,6,2024-06,3.405431754874652,4.225645440306916,-0.28867744896598424,718
seasonal_naive_daily,6,2024-07,4.81900269541779,8.38406185935287,-0.7866913563743136,742
seasonal_naive_daily,6,2024-08,4.510040431266846,6.0192024818509156,-0.3361273207334028,742
seasonal_naive_daily,6,2024-09,2.127591036414566,2.808051648674691,-0.587965884130232,714
seasonal_naive_daily,6,2024-10,3.7355662983425417,5.622068603880634,-0.298906610976603,724
seasonal_naive_daily,6,2024-11,6.438936781609195,17.4110650674107,-0.9611751004597093,696
seasonal_naive_daily,6,2024-12,3.6866096866096867,4.973392165276093,-0.5163640209119753,702
seasonal_naive_daily,12,2024-01,4.803479576399395,6.140770475048832,-0.8206515302780204,661
seasonal_naive_daily,12,2024-02,5.279863221884499,7.260208461173552,-1.0603102593058096,658
